726,"(1, 1, -5, -5)",-11114.600222682035,-11115.487109813033,-11061.534105799801,-11585.973581657325,-10213.842141501813,-11069.155396442397,-11042.673475729742,-10703.068746760684,-10587.46904095766
727,"(1, 1, -5, -4)",-10499.660098154685,-10643.913840962143,-11410.413023016856,-10542.059196953227,-10478.052779980671,-10914.676478537893,-10381.958739232785,-11510.73082858136,-10109.870136649846
728,"(1, 1, -5, -3)",-11459.147719005743,-10790.561844456775,-10784.125615984709,-10536.337622985831,-10125.120069339511,-10802.67806743922,-10514.752315946054,-11564.808454591926,-10812.8629831506
729,"(1, 1, -5, -2)",-10075.892142813971,-10845.512201591673,-11407.577433629089,-10375.558548340125,-11105.82954756578,-11224.28716842146,-11230.485130773166,-10768.66926672628,-10611.551637889868
730,"(1, 1, -5, -1)",-10757.860552844506,-10926.861577754218,-10709.925107168929,-10760.891894895174,-10961.428547075106,-10709.769927796355,-10927.830723786587,-10869.107968790855,-10085.561459311439
731,"(1, 1, -5, 0)",-10904.171382512379,-10495.114175873949,-10696.593547668252,-11130.067316147592,-10804.990892707212,-10095.115627014184,-10517.58986935109,-10825.409406815068,-10723.58829912057
732,"(1, 1, -5, 1)",-10498.939670713744,-10701.109507371211,-10446.45783771578,-10695.3694682365,-11195.000714872493,-10843.095133393643,-10590.62274136196,-12157.89142879132,-10096.597845519842
733,"(1, 1, -5, 2)",-11043.177448851893,-11118.818509025266,-10533.69391590373,-11931.768782100582,-11152.31272440506,-10099.744540339118,-10604.628301510396,-10597.991280152806,-10408.859146886189
734,"(1, 1, -5, 3)",-11916.365408963844,-11204.098424295378,-11211.611111114831,-10694.255550189562,-10805.482516156982,-10088.398425919648,-10380.766139716432,-10462.737212175945,-10652.243917196334
735,"(1, 1, -5, 4)",-10124.886666349104,-10620.725043548147,-11286.93066683337,-10760.257057864272,-10595.301277929688,-10623.816504342185,-11148.989554554671,-12012.500884493476,-11114.937508562823
736,"(1, 1, -5, 5)",-13633.287721134262,-10964.2639633137,-10829.530616318507,-12135.254626342485,-11130.94687025082,-10489.233395006395,-10261.326359449913,-10595.184482147255,-12088.245378487576
737,"(1, 1, -4, -5)",-10301.649120216814,-10408.757895197601,-10924.54685604588,-10584.946442839957,-10822.773253015745,-10788.37467977956,-10968.324893250068,-10720.404116003963,-10148.916028650048
738,"(1, 1, -4, -4)",-11005.254694513496,-10915.93939594519,-10067.725534220452,-11402.648023340877,-11903.584563318802,-10978.3039064419,-10591.969519598717,-10393.277281800243,-10432.035086951626
739,"(1, 1, -4, -3)",-11925.262964833866,-10935.00286971542,-10757.012300868471,-11121.071327364296,-10497.770902753386,-10962.665532872774,-10500.287565770095,-10579.150113571073,-10077.573132655943
740,"(1, 1, -4, -2)",-10515.111594340346,-10522.733780996798,-11500.739640585796,-10858.574945152253,-10067.226010526412,-11150.235207146832,-10897.709169620013,-11074.480389594464,-10563.337550137749
741,"(1, 1, -4, -1)",-10627.634998115209,-10947.104395217475,-10497.173660199838,-11613.992525492584,-10734.349708769647,-11184.782471732267,-10473.96790022817,-10098.345930860205,-11345.734872920693
742,"(1, 1, -4, 0)",-10478.394123586577,-10882.121551362374,-11611.552846324159,-10627.27015856953,-12281.767783250587,-10961.174710738833,-10735.294238468903,-11043.06377863752,-10114.805407186703
743,"(1, 1, -4, 1)",-10225.755606966812,-11472.785319688057,-11238.8159306264,-11466.933893474805,-11700.991462957125,-11164.059491172964,-13179.900848997428,-10995.952790943362,-11384.845919290789
744,"(1, 1, -4, 2)",-13536.716718173047,-11113.334196882624,-10764.755993801668,-10499.087798323062,-10921.90186207168,-11068.75185889443,-10993.611994668543,-11816.998981729144,-10090.582377735478
745,"(1, 1, -4, 3)",-10684.509054190738,-10788.73093139517,-10123.813487908192,-10855.640782913033,-11233.790386314786,-10556.086012297197,-10886.548200287585,-11013.72067680258,-10997.240505823813
746,"(1, 1, -4, 4)",-10785.881038020882,-11110.685453505455,-10753.263963896548,-10139.437204295215,-12102.135334890281,-11478.170506614026,-10602.373011615422,-10501.557957065845,-12574.27181330019
747,"(1, 1, -4, 5)",-10121.374559546026,-10681.37084434366,-11009.201536332363,-10580.47105029583,-11220.907946860429,-10500.079188114252,-10573.434292739146,-10794.635149608319,-10703.37207742564
748,"(1, 1, -3, -5)",-11004.206719324427,-11273.21717441543,-10718.041727371847,-10482.296879175165,-10072.50650932029,-11069.43908000818,-10368.058172754987,-10263.844379465356,-11068.094843410223
749,"(1, 1, -3, -4)",-11288.844844537194,-10552.5138571659,-10719.607643641248,-11630.293404801125,-10932.606897049505,-10096.037432328885,-10670.113097496465,-11800.30834567061,-10720.22769065165
750,"(1, 1, -3, -3)",-10608.467021089702,-10086.62525106252,-11001.617952137194,-11941.481171017464,-10414.15090474737,-10322.907020722732,-10493.868056428513,-10767.368786900126,-10871.537939743715
751,"(1, 1, -3, -2)",-10598.415917818043,-11092.776607762053,-10643.783076028429,-10627.491889410316,-10078.350124758981,-11682.422631569989,-10636.51513391094,-11018.90505607295,-10584.74822839207
752,"(1, 1, -3, -1)",-11092.390523601991,-11718.05754100524,-11746.04033397766,-10093.881642363662,-11124.321008241166,-11093.876347826046,-10826.378925272005,-11561.99838000814,-10949.682133017548
753,"(1, 1, -3, 0)",-10506.142441306303,-11307.269649523714,-10364.996967338378,-11975.480778488025,-10548.881772042698,-10126.460412624832,-11037.15280833848,-10947.639845568081,-10463.97327493017
754,"(1, 1, -3, 1)",-12368.818014475322,-11538.365146784196,-11272.530376715164,-10363.383978057867,-10328.297995972813,-11005.973504381205,-10092.792397951936,-10796.204623723444,-10936.80597429421
