726,"(1, 1, -5, -5)",-9999,-9999,-9999,-9999,-9999,-9999,-10327.10199,-9999,-9999,,8691,66.50596878
727,"(1, 1, -5, -4)",-10081.98561,-10039.55641,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,13068,
728,"(1, 1, -5, -3)",-10028.08273,-12507.07364,-10111.53506,-10010.27917,-10039.66575,-10005.8654,-9999,-9999,-9999,,,
729,"(1, 1, -5, -2)",-10003.66097,-9999,-10143.53323,-9999,-9999,-9999,-9999,-9999,-9999,,,
730,"(1, 1, -5, -1)",-10014.89152,-10212.26325,-10027.94832,-14206.7641,-9999,-9999,-9999,-9999,-9999,,,
731,"(1, 1, -5, 0)",-10181.63539,-10029.09359,-9999,-9999,-9999,-9999,-9999,-9999,-10046.0509,,,
732,"(1, 1, -5, 1)",-10013.28504,-11586.10073,-10006.2229,-10059.3106,-10053.65814,-9999,-9999,-9999,-9999,,,
733,"(1, 1, -5, 2)",-10074.42388,-10051.60235,-10034.97745,-10012.79348,-10681.61509,-9999,-9999,-9999,-9999,,,
734,"(1, 1, -5, 3)",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10026.6741,,,
735,"(1, 1, -5, 4)",-9999,-9999,-9999,-9999,-9999,-9999,-10005.98442,-9999,-9999,,,
736,"(1, 1, -5, 5)",-10185.89102,-10048.11991,-10102.93635,-10095.41414,-9999,-9999,-9999,-9999,-10042.57667,,,
737,"(1, 1, -4, -5)",-10036.29018,-10056.70193,-10036.13326,-10060.31502,-9999,-9999,-9999,-9999,-9999,,,
738,"(1, 1, -4, -4)",-10164.67716,-10156.15376,-10019.13909,-10022.78572,-10041.11222,-9999,-9999,-9999,-9999,,,
739,"(1, 1, -4, -3)",-10260.75754,-10006.59777,-10054.20417,-10225.59397,-9999,-9999,-9999,-10060.7798,-9999,,,
740,"(1, 1, -4, -2)",-10021.20779,-10018.05771,-10129.79129,-10009.46229,-10007.9126,-10007.21139,-10761.13955,-10012.96282,-10071.83123,,,
741,"(1, 1, -4, -1)",-10093.66405,-10631.52256,-14055.41742,-9999,-9999,-9999,-9999,-10068.88553,-9999,,,
742,"(1, 1, -4, 0)",-10041.73025,-9999,-10014.35558,-9999,-10179.87466,-9999,-9999,-9999,-9999,,,
743,"(1, 1, -4, 1)",-9999,-10015.44787,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,
744,"(1, 1, -4, 2)",-10012.85557,-10170.79658,-10010.79031,-10010.00813,-9999,-10064.39243,-9999,-9999,-9999,,,
745,"(1, 1, -4, 3)",-9999,-9999,-10009.33285,-9999,-9999,-9999,-9999,-9999,-9999,,,
746,"(1, 1, -4, 4)",-10035.12694,-10018.37779,-10012.72476,-10027.01101,-10006.69118,-10257.58456,-9999,-9999,-9999,,,
747,"(1, 1, -4, 5)",-10324.71743,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,
748,"(1, 1, -3, -5)",-10033.60436,-10041.11274,-9999,-9999,-10036.71464,-9999,-9999,-9999,-9999,,,
749,"(1, 1, -3, -4)",-10098.0845,-10008.63171,-9999,-9999,-10520.23724,-9999,-9999,-9999,-10008.18524,,,
750,"(1, 1, -3, -3)",-10015.74037,-10015.19498,-10079.60018,-9999,-9999,-9999,-9999,-9999,-9999,,,
751,"(1, 1, -3, -2)",-10163.02118,-10002.74671,-10254.68648,-10126.3839,-10006.83895,-10034.51563,-9999,-9999,-9999,,,
752,"(1, 1, -3, -1)",-10185.89543,-10065.29285,-10124.62443,-10019.08047,-10015.22627,-10104.47377,-10174.9234,-9999,-9999,,,
753,"(1, 1, -3, 0)",-10063.06426,-10739.12201,-10272.29156,-10089.60935,-9999,-9999,-9999,-9999,-9999,,,
754,"(1, 1, -3, 1)",-10046.96606,-10333.91986,-10004.3632,-10031.94637,-10041.81987,-10047.47099,-11898.5338,-10083.96177,-9999,,,
755,"(1, 1, -3, 2)",-10023.69886,-10016.05378,-10029.05446,-9999,-9999,-9999,-9999,-9999,-9999,,,
756,"(1, 1, -3, 3)",-9999,-9999,-9999,-9999,-9999,-10008.83616,-9999,-9999,-10024.71854,,,
757,"(1, 1, -3, 4)",-10009.49207,-10014.34579,-10147.22758,-9999,-9999,-9999,-9999,-9999,-10004.35441,,,
758,"(1, 1, -3, 5)",-10182.68357,-10143.21075,-10026.93712,-10007.37148,-10162.53821,-9999,-9999,-9999,-9999,,,
759,"(1, 1, -2, -5)",-10163.44286,-10013.08776,-10007.51069,-10006.23077,-10136.06974,-9999,-10098.75761,-9999,-9999,,,
760,"(1, 1, -2, -4)",-10014.9728,-10239.79367,-9999,-9999,-9999,-9999,-9999,-9999,-10015.90919,,,
761,"(1, 1, -2, -3)",-10030.76559,-10676.76812,-10017.66443,-9999,-9999,-9999,-9999,-9999,-9999,,,
762,"(1, 1, -2, -2)",-10058.87585,-10040.15326,-10316.25361,-9999,-9999,-9999,-10010.5822,-9999,-9999,,,
763,"(1, 1, -2, -1)",-10008.22387,-10174.68883,-10076.68426,-10048.79149,-10031.78018,-10072.76785,-10050.172,-121.9453367,-224.0766807,,,
764,"(1, 1, -2, 0)",-10019.19895,-10650.8512,-10018.31208,-10064.06963,-10059.55083,-10024.33324,-12.53695317,-9999,-1021.948534,,,
765,"(1, 1, -2, 1)",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1037.385111,-9999,,,
766,"(1, 1, -2, 2)",-10127.02052,-10029.6517,-10056.5642,-10105.59552,-10020.96786,-10296.65657,-9999,-9999,-9999,,,
767,"(1, 1, -2, 3)",-10157.34178,-9999,-9999,-10006.35632,-9999,-9999,-11.13955313,-9999,-9999,,,
768,"(1, 1, -2, 4)",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,
769,"(1, 1, -2, 5)",-10011.6962,-10003.02102,-9999,-9999,-9999,-9999,-9999,-9999,-10022.21052,,,
770,"(1, 1, -1, -5)",-10287.25464,-10231.34684,-10080.65065,-9999,-10080.41384,-9999,-9999,-9999,-9999,,,
771,"(1, 1, -1, -4)",-10008.01812,-10346.5581,-10009.0247,-9999,-9999,-10109.63796,-10080.7955,-9999,-9999,,,
772,"(1, 1, -1, -3)",-10112.48826,-10707.14507,-10020.47683,-9999,-9999,-9999,-9999,-9999,-12536.79562,,,
773,"(1, 1, -1, -2)",-10014.70261,-10039.20563,-10034.03103,-10027.02027,-10003.21292,-9999,-9999,-10014.60418,-9999,,,
774,"(1, 1, -1, -1)",-10029.2101,-10294.94702,-10026.26472,-10133.19039,-4301.836736,-659.9493727,-10107.69082,-1642.430677,-198.4902511,,,
775,"(1, 1, -1, 0)",-10081.80905,-10045.66089,-10009.62868,-1016.862213,-191.6757807,-198.6876878,-427.4991756,-462.0026609,-53.17672486,,,
776,"(1, 1, -1, 1)",-10016.71297,-10063.08475,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,
777,"(1, 1, -1, 2)",-9999,-9999,-9999,-9999,-9999,-236.1658264,-9999,-9999,-9999,,,
778,"(1, 1, -1, 3)",-10055.35449,-11621.81873,-10038.72906,-9999,-9999,-10011.8813,-9999,-9999,-9999,,,
779,"(1, 1, -1, 4)",-10023.81489,-10130.72782,-10074.38727,-1026.095109,-10044.24837,-9999,-9999,-9999,-9999,,,
780,"(1, 1, -1, 5)",-10004.28096,-9999,-9999,-9999,-9999,-9999,-9999,-10003.89819,-9999,,,
781,"(1, 1, 0, -5)",-9999,-10087.47475,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,
782,"(1, 1, 0, -4)",-10023.34137,-10007.46737,-10306.69133,-10007.14294,-10017.94994,-9999,-9999,-9999,-9999,,,
783,"(1, 1, 0, -3)",-12780.3335,-10135.77525,-10041.71019,-10193.78253,-10498.26093,-9999,-9999,-9999,-9999,,,
784,"(1, 1, 0, -2)",-10037.05596,-10070.71663,-50.11342985,-10029.45576,-9999,-9999,-9999,-10212.59707,-9999,,,
785,"(1, 1, 0, -1)",-10307.50304,-733.4741497,-701.7800198,-10053.80771,-2786.187629,-55.66256659,-10054.30572,-593.528818,-1314.177817,,,
786,"(1, 1, 0, 0)",-409.3328315,-371.2363335,-56.18950821,-680.8768854,-308.9810485,-4008.319519,-433.8189365,-541.3658856,-4401.734109,,,
787,"(1, 1, 0, 1)",-9999,-9999,-9999,-63.00773686,-9999,-9999,-9999,-9999,-9999,,,
788,"(1, 1, 0, 2)",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-62.99280551,,,
789,"(1, 1, 0, 3)",-37.31847938,-9999,-10014.76625,-9999,-9999,-9999,-9999,-9999,-9999,,,
790,"(1, 1, 0, 4)",-9999,-9999,-9999,-9999,-9999,-10039.22704,-9999,-9999,-9999,,,
791,"(1, 1, 0, 5)",-10015.88665,-10116.6954,-9999,-9999,-9999,-9999,-9999,-9999,-10012.66047,,,
792,"(1, 1, 1, -5)",-10051.35437,-10079.72838,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,
793,"(1, 1, 1, -4)",-9999,-9999,-9999,-9999,-9999,-10063.38065,-9999,-9999,-9999,,,
794,"(1, 1, 1, -3)",-10198.1056,-10005.1993,-10006.71042,-10022.76033,-10034.6833,-10121.51639,-10089.80544,-9999,-9999,,,
795,"(1, 1, 1, -2)",-10008.2482,-13990.96469,-1047.284922,-9999,-10017.60303,-9999,-9999,-9999,-9999,,,
796,"(1, 1, 1, -1)",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1073.105408,-9999,,,
797,"(1, 1, 1, 0)",-9999,-9999,-93.74294457,-9999,-9999,-9999,-9999,-9999,-9999,,,
798,"(1, 1, 1, 1)",-9999,-9999,-9999,-9999,-9999,-6405.858213,-9999,-9999,-9999,,,
799,"(1, 1, 1, 2)",-9999,-9999,-423.6560076,-9999,-9999,-9999,-9999,-9999,-9999,,,
